location,information,sales_price
Kadıköy - Fenerbahçe Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,130.000 TL
Beyoğlu - Hacımimi Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,80.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,28.500 TL
Eyüpsultan - Çırçır Mahallesi,Daire | 2+1 | 3. Kat | 98 m²,35.000 TL
Maltepe - Cevizli Mahallesi,Daire | 2+1 | 5. Kat | 101 m²,55.000 TL
Kartal - Uğur Mumcu Mahallesi,Daire | 2+1 | 9. Kat | 115 m²,29.500 TL
Maltepe - Cevizli Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,40.000 TL
Maltepe - Altıntepe Mahallesi,Daire | 4+1 | 3. Kat | 125 m²,45.000 TL
Pendik - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,26.500 TL
Pendik - Yeni Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,37.500 TL
Maltepe - Cevizli Mahallesi,Daire | 4+1 | 10. Kat | 220 m²,90.000 TL
Kartal - Hürriyet Mahallesi,Daire | 1+1 | 10. Kat | 59 m²,27.500 TL
Kartal - Kordonboyu Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,47.000 TL
Pendik - Yenişehir Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,31.000 TL
Pendik - Batı Mahallesi,Daire | 4+2 | 6. Kat | 180 m²,72.500 TL
Pendik - Sapan Bağları Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Üsküdar - Kirazlıtepe Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,55.000 TL
Kadıköy - Suadiye Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,125.000 TL
Kadıköy - Fenerbahçe Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,130.000 TL
Beyoğlu - Hacımimi Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,80.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,28.500 TL
Eyüpsultan - Çırçır Mahallesi,Daire | 2+1 | 3. Kat | 98 m²,35.000 TL
Maltepe - Cevizli Mahallesi,Daire | 2+1 | 5. Kat | 101 m²,55.000 TL
Kartal - Uğur Mumcu Mahallesi,Daire | 2+1 | 9. Kat | 115 m²,29.500 TL
Maltepe - Cevizli Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,40.000 TL
Maltepe - Altıntepe Mahallesi,Daire | 4+1 | 3. Kat | 125 m²,45.000 TL
Pendik - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,26.500 TL
Pendik - Yeni Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,37.500 TL
Maltepe - Cevizli Mahallesi,Daire | 4+1 | 10. Kat | 220 m²,90.000 TL
Kartal - Hürriyet Mahallesi,Daire | 1+1 | 10. Kat | 59 m²,27.500 TL
Kartal - Kordonboyu Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,47.000 TL
Pendik - Yenişehir Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,31.000 TL
Pendik - Batı Mahallesi,Daire | 4+2 | 6. Kat | 180 m²,72.500 TL
Pendik - Sapan Bağları Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Üsküdar - Kirazlıtepe Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,55.000 TL
Üsküdar - Kirazlıtepe Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,60.000 TL
Kartal - Yalı Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,40.000 TL
Maltepe - Yalı Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,35.000 TL
Pendik - Dumlupınar Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,22.000 TL
Pendik - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,40.000 TL
Kartal - Yunus Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,32.000 TL
Kartal - Gümüşpınar Mahallesi,Daire | 3+1 | 8. Kat | 130 m²,30.000 TL
Maltepe - Cevizli Mahallesi,Daire | 1+1 | 25. Kat | 62 m²,35.000 TL
Pendik - Çınardere Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,28.000 TL
Kartal - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,33.500 TL
Pendik - Yenişehir Mahallesi,Daire | 2+1 | 8. Kat | 104 m²,38.000 TL
Maltepe - Cevizli Mahallesi,Daire | 1+1 | 25. Kat | 60 m²,39.000 TL
Bahçelievler - Yenibosna Merkez Mahallesi,Daire | Stüdyo | 10. Kat | 37 m²,18.000 TL
Beylikdüzü - Dereağzı Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,27.000 TL
Sarıyer - Ayazağa Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 78 m²,50.000 TL
Sarıyer - Maslak Mahallesi,Daire | 2+1 | 15. Kat | 136 m²,200.000 TL
Bağcılar - Bağlar Mahallesi,Daire | 1+1 | Bahçe katı | 76 m²,30.000 TL
Beylikdüzü - Dereağzı Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,28.000 TL
Bağcılar - Bağlar Mahallesi,Daire | 4+1 | 6. Kat | 208 m²,85.000 TL
Kartal - Atalar Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,62.000 TL
Tuzla - İstasyon Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,45.000 TL
Tuzla - Postane Mahallesi,Daire | 3+1 | Bahçe katı | 155 m²,55.000 TL
Pendik - Ahmet Yesevi Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,20.000 TL
Pendik - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,20.000 TL
Pendik - Velibaba Mahallesi,Daire | 4+2 | 4. Kat | 180 m²,30.000 TL
Esenyurt - Akevler Mahallesi,Daire | 2+1 | 7. Kat | 90 m²,28.000 TL
Kartal - Kordonboyu Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,42.000 TL
Bahçelievler - Bahçelievler Mahallesi,Daire | 2+1 | 12. Kat | 149 m²,70.000 TL
Bahçelievler - Kocasinan Merkez Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,42.000 TL
Zeytinburnu - Beştelsiz Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,23.000 TL
Pendik - Velibaba Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,36.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 84 m²,26.000 TL
Üsküdar - Bulgurlu Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,25.000 TL
Esenyurt - Necip Fazıl Kısakürek Mahallesi,Daire | 1+1 | 19. Kat | 80 m²,16.500 TL
Ataşehir - Küçükbakkalköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,29.500 TL
Ataşehir - Küçükbakkalköy Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,45.000 TL
Ataşehir - Küçükbakkalköy Mahallesi,Daire | 3+1 | 5. Kat | 100 m²,50.500 TL
Maltepe - Altayçeşme Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,30.000 TL
Maltepe - Altayçeşme Mahallesi,Daire | 3+1 | Yüksek giriş | 100 m²,55.000 TL
Şişli - Halaskargazi Mahallesi,Daire | 4+1 | 5. Kat | 220 m²,135.000 TL
Kadıköy - Rasimpaşa Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,37.500 TL
Sancaktepe - Abdurrahmangazi Mahallesi,Daire | 3+1 | Bahçe katı | 165 m²,50.000 TL
Kadıköy - Acıbadem Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,37.500 TL
Ümraniye - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,36.000 TL
Kadıköy - Fikirtepe Mahallesi,Daire | 2+1 | 11. Kat | 120 m²,63.000 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,26.000 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,19.000 TL
Sultangazi - 75. Yıl Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,18.250 TL
Sultangazi - 75. Yıl Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Sultangazi - Zübeyde Hanım Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,14.000 TL
Esenyurt - Talatpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,13.000 TL
Küçükçekmece - Sultan Murat Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,14.000 TL
Pendik - Çınardere Mahallesi,Daire | 3+1 | 7. Kat | 290 m²,150.000 TL
Sancaktepe - Abdurrahmangazi Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,31.000 TL
Sancaktepe - Abdurrahmangazi Mahallesi,Daire | 2+1 | 6. Kat | 117 m²,52.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,31.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,15.400 TL
Pendik - Çınardere Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,40.000 TL
Pendik - Çınardere Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,35.000 TL
Sarıyer - Pınar Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 85 m²,27.000 TL
Sarıyer - Tarabya Mahallesi,Daire | 1.5+1 | 3. Kat | 75 m²,45.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,17.800 TL
Ataşehir - İnönü Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,35.100 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 5+1 | Bahçe katı | 70 m²,24.999 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.200 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.400 TL
Maltepe - Fındıklı Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 80 m²,30.000 TL
Esenyurt - Barbaros Hayrettin Paşa Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,29.000 TL
Bahçelievler - Şirinevler Mahallesi,Daire | 3+1 | 9. Kat | 115 m²,50.000 TL
Eyüpsultan - Karadolap Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Pendik - Kavakpınar Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,32.000 TL
Tuzla - Mimar Sinan Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,30.000 TL
Sancaktepe - Abdurrahmangazi Mahallesi,Daire | 2+1 | 6. Kat | 117 m²,52.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,31.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,15.400 TL
Pendik - Çınardere Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,40.000 TL
Pendik - Çınardere Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,35.000 TL
Sarıyer - Pınar Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 85 m²,27.000 TL
Sarıyer - Tarabya Mahallesi,Daire | 1.5+1 | 3. Kat | 75 m²,45.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,17.800 TL
Ataşehir - İnönü Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,35.100 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 5+1 | Bahçe katı | 70 m²,24.999 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.200 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.400 TL
Maltepe - Fındıklı Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 80 m²,30.000 TL
Esenyurt - Barbaros Hayrettin Paşa Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,29.000 TL
Bahçelievler - Şirinevler Mahallesi,Daire | 3+1 | 9. Kat | 115 m²,50.000 TL
Eyüpsultan - Karadolap Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Pendik - Kavakpınar Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,32.000 TL
Tuzla - Mimar Sinan Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,30.000 TL
Kartal - Orta Mahallesi,Daire | 3+1 | 11. Kat | 160 m²,75.000 TL
Beykoz - Çubuklu Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Üsküdar - Acıbadem Mahallesi,Daire | 2+1 | 1. Kat | 77 m²,70.000 TL
Ümraniye - Elmalıkent Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,25.000 TL
Ümraniye - Yamanevler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,36.500 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,35.000 TL
Tuzla - Aydınlı Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,28.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,35.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,45.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,36.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 108 m²,33.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | 1. Kat | 108 m²,33.000 TL
Sultanbeyli - Adil Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,31.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 2+1 | 10. Kat | 118 m²,41.000 TL
Üsküdar - Küçük Çamlıca Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,40.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,23.000 TL
Küçükçekmece - Yeşilova Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,26.000 TL
Küçükçekmece - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,16.500 TL
Tuzla - Yayla Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,40.000 TL
Bakırköy - Ataköy 7-8-9-10. Kısım Mahallesi,Daire | 1+1 | 11. Kat | 40 m²,35.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,32.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,35.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 2+1 | 7. Kat | 156 m²,55.000 TL
Çekmeköy - Güngören Mahallesi,Daire | 2+1 | 3. Kat | 113 m²,59.000 TL
Çekmeköy - Güngören Mahallesi,Daire | 1+1 | 6. Kat | 74 m²,43.000 TL
Çekmeköy - Taşdelen Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,39.000 TL
Çekmeköy - Sultançiftliği Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,31.000 TL
Ümraniye - Necip Fazıl Mahallesi,Daire | 2+1 | Bahçe katı | 124 m²,61.000 TL
Sancaktepe - Mevlana Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,19.000 TL
Şişli - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,30.000 TL
Çekmeköy - Soğukpınar Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,30.000 TL
Güngören - Abdurrahman Nafiz Gürman Mahallesi,Daire | 1+1 | Bahçe katı | 118 m²,65.000 TL
Sancaktepe - Emek Mahallesi,Daire | 3+1 | Bahçe katı | 176 m²,85.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 3+2 | 3. Kat | 150 m²,45.000 TL
Sancaktepe - Abdurrahmangazi Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,23.000 TL
Sancaktepe - Emek Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,70.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 4+1 | Bahçe katı | 200 m²,160.000 TL
Tuzla - Aydıntepe Mahallesi,Daire | 1+1 | 12. Kat | 70 m²,27.000 TL
Kadıköy - Acıbadem Mahallesi,Daire | 3+1 | 15. Kat | 225 m²,190.000 TL
Esenyurt - Zafer Mahallesi,Daire | 2+1 | 13. Kat | 94 m²,25.000 TL
Esenyurt - Zafer Mahallesi,Daire | Stüdyo | 9. Kat | 42 m²,11.000 TL
Kağıthane - Gültepe Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,25.000 TL
Kağıthane - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,24.000 TL
Şişli - Eskişehir Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,32.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,25.000 TL
Kağıthane - Harmantepe Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,20.000 TL
Şişli - Gülbahar Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,30.000 TL
Şişli - Kuştepe Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 40 m²,21.500 TL
Beşiktaş - Ortaköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,27.500 TL
Kağıthane - Harmantepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,20.000 TL
Gaziosmanpaşa - Karayolları Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,21.000 TL
Bayrampaşa - Kartaltepe Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,35.000 TL
Esenyurt - Pınar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,15.750 TL
Sultanbeyli - Battalgazi Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,35.000 TL
Gaziosmanpaşa - Karadeniz Mahallesi,Daire | 1+1 | 9. Kat | 102 m²,40.000 TL
Başakşehir - Kayabaşı Mahallesi,Daire | 1+1 | 21. Kat | 58 m²,32.000 TL
Esenler - Kemer Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,45.000 TL
Gaziosmanpaşa - Karadeniz Mahallesi,Daire | 1+1 | 16. Kat | 85 m²,45.000 TL
Kadıköy - Göztepe Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,56.000 TL
Kadıköy - Kozyatağı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,60.000 TL
Kadıköy - Kozyatağı Mahallesi,Daire | 2+1 | 13. Kat | 80 m²,60.000 TL
Kartal - Uğur Mumcu Mahallesi,Daire | 3+1 | 3. Kat | 113 m²,29.500 TL
Çekmeköy - Güngören Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,20.000 TL
Esenyurt - Balıkyolu Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,16.000 TL
Kadıköy - Göztepe Mahallesi,Daire | 2+1 | 7. Kat | 90 m²,70.000 TL
Beykoz - Anadolu Hisarı Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,55.000 TL
Tuzla - Postane Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,45.000 TL
Tuzla - Mimar Sinan Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,22.500 TL
Tuzla - Aydınlı Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,36.000 TL
Pendik - Kaynarca Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,38.500 TL
Tuzla - Evliya Çelebi Mahallesi,Daire | 4+1 | 4. Kat | 165 m²,45.000 TL
Tuzla - Yayla Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,28.000 TL
Kartal - Yakacık Çarşı Mahallesi,Daire | 4+1 | 10. Kat | 170 m²,75.000 TL
Ümraniye - Çakmak Mahallesi,Daire | 2+1 | 7. Kat | 105 m²,41.500 TL
Küçükçekmece - Atatürk Mahallesi,Daire | 1+1 | 10. Kat | 65 m²,33.500 TL
Küçükçekmece - Atakent Mahallesi,Daire | 3+1 | 6. Kat | 132 m²,44.500 TL
Arnavutköy - Yavuz Selim Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
Arnavutköy - Anadolu Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,22.000 TL
Üsküdar - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,40.000 TL
Üsküdar - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,45.000 TL
Üsküdar - Burhaniye Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,92.000 TL
Üsküdar - Murat Reis Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,40.000 TL
Üsküdar - Kısıklı Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,47.000 TL
Ataşehir - Fetih Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,27.000 TL
Ataşehir - Örnek Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,30.000 TL
Ataşehir - Örnek Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,35.000 TL
Üsküdar - Cumhuriyet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,33.500 TL
Üsküdar - Bulgurlu Mahallesi,Daire | 3+1 | Bahçe katı | 110 m²,29.000 TL
Üsküdar - Bulgurlu Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,32.000 TL
Küçükçekmece - Kanarya Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,18.000 TL
Esenyurt - Süleymaniye Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,14.000 TL
Sarıyer - Zekeriyaköy Mahallesi,Daire | 1+1 | Bahçe katı | 110 m²,57.500 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,20.000 TL
Bayrampaşa - Altıntepsi Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,18.000 TL
Ümraniye - İnkılap Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,35.000 TL
Ümraniye - Elmalıkent Mahallesi,Daire | 3+1 | 11. Kat | 130 m²,59.000 TL
Ümraniye - Elmalıkent Mahallesi,Daire | 2+1 | 1. Kat | 87 m²,36.000 TL
Ümraniye - İnkılap Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,21.000 TL
Küçükçekmece - Söğütlü Çeşme Mahallesi,Daire | 2+1 | Çatı Dubleks | 100 m²,25.000 TL
Küçükçekmece - Cennet Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,25.000 TL
Ümraniye - Tantavi Mahallesi,Daire | 1+1 | 25. Kat | 73 m²,45.000 TL
Ümraniye - Topağacı Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,22.000 TL
Maltepe - Yalı Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,65.000 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 1+1 | 7. Kat | 75 m²,25.000 TL
Beylikdüzü - Sahil Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 280 m²,59.000 TL
Ataşehir - İçerenköy Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,33.000 TL
Ataşehir - Mevlana Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,24.500 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,32.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,29.500 TL
Ataşehir - İnönü Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 70 m²,20.500 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,24.500 TL
Maltepe - Fındıklı Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,22.000 TL
Maltepe - Fındıklı Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,29.500 TL
Ataşehir - İçerenköy Mahallesi,Daire | 1+1 | Çatı katı | 70 m²,21.000 TL
Küçükçekmece - Tevfik Bey Mahallesi,Daire | 1+1 | 4. Kat | 62 m²,37.500 TL
Esenler - Menderes Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,35.000 TL
Tuzla - Yayla Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,30.000 TL
Tuzla - Yayla Mahallesi,Daire | 2+1 | 9. Kat | 110 m²,35.000 TL
Tuzla - Şifa Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,24.000 TL
Arnavutköy - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,20.000 TL
Kadıköy - Bostancı Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,65.000 TL
Eyüpsultan - Silahtarağa Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,45.000 TL
Üsküdar - Çengelköy Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,60.000 TL
Üsküdar - Küçüksu Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,27.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 4+1 | 4. Kat | 180 m²,45.000 TL
Şişli - Yayla Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,21.000 TL
Ümraniye - Necip Fazıl Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,15.000 TL
Bağcılar - Yenimahalle Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,29.990 TL
Esenyurt - Koza Mahallesi,Daire | 1+1 | 5. Kat | 85 m²,16.500 TL
Esenyurt - Cumhuriyet Mahallesi,Daire | 1+1 | 15. Kat | 75 m²,25.000 TL
Üsküdar - İcadiye Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,35.000 TL
Kağıthane - Gürsel Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,31.000 TL
Kartal - Atalar Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,40.000 TL
Tuzla - Evliya Çelebi Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,29.000 TL
Tuzla - Evliya Çelebi Mahallesi,Daire | 3+1 | 5. Kat | 105 m²,27.000 TL
Kartal - Gümüşpınar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,34.000 TL
Ataşehir - Örnek Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,29.500 TL
Kadıköy - Sahrayı Cedit Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,41.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 95 m²,35.500 TL
Sarıyer - Rumeli Hisarı Mahallesi,Daire | Stüdyo | 5. Kat | 70 m²,80.000 TL
Üsküdar - Sultantepe Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,23.000 TL25.000 TL
Bağcılar - 100. Yıl Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,20.000 TL
Eyüpsultan - Yeşilpınar Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,18.500 TL
Esenler - Tuna Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,15.500 TL
Esenler - Birlik Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,13.500 TL
Esenler - Atışalanı Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,40.000 TL
Beşiktaş - Dikilitaş Mahallesi,Daire | 1+1 | Bahçe katı | 65 m²,43.000 TL
